Main,,Sukupuolet yhteensä,,,,,,,,,Miehet,,,,,,,,,Naiset,,,,,,,,
Taustamaanosa,Syntyperä,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON
KOKO MAA,Väestö yhteensä,5401267,5144019,257248,64017,88119,31522,8210,60722,4658,2652534,2522208,130326,35327,38879,18598,4547,30594,2381,2748733,2621811,126922,28690,49240,12924,3663,30128,2277
,Syntyperältään suomalainen yhteensä,5144019,5144019,0,0,0,0,0,0,0,2522208,2522208,0,0,0,0,0,0,0,2621811,2621811,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",5097573,5097573,0,0,0,0,0,0,0,2498453,2498453,0,0,0,0,0,0,0,2599120,2599120,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",46446,46446,0,0,0,0,0,0,0,23755,23755,0,0,0,0,0,0,0,22691,22691,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,257248,0,257248,64017,88119,31522,8210,60722,4658,130326,0,130326,35327,38879,18598,4547,30594,2381,126922,0,126922,28690,49240,12924,3663,30128,2277
,Ensimmäisen polven ulkomaalainen,219702,0,219702,58084,75992,23612,7669,51466,2879,111037,0,111037,32250,32665,14561,4251,25825,1485,108665,0,108665,25834,43327,9051,3418,25641,1394
,Toisen polven ulkomaalainen,37546,0,37546,5933,12127,7910,541,9256,1779,19289,0,19289,3077,6214,4037,296,4769,896,18257,0,18257,2856,5913,3873,245,4487,883
Akaa,Väestö yhteensä,17091,16818,273,112,96,9,7,42,7,8461,8321,140,70,39,6,3,19,3,8630,8497,133,42,57,3,4,23,4
,Syntyperältään suomalainen yhteensä,16818,16818,0,0,0,0,0,0,0,8321,8321,0,0,0,0,0,0,0,8497,8497,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",16686,16686,0,0,0,0,0,0,0,8248,8248,0,0,0,0,0,0,0,8438,8438,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",132,132,0,0,0,0,0,0,0,73,73,0,0,0,0,0,0,0,59,59,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,273,0,273,112,96,9,7,42,7,140,0,140,70,39,6,3,19,3,133,0,133,42,57,3,4,23,4
,Ensimmäisen polven ulkomaalainen,249,0,249,104,91,8,7,36,3,128,0,128,66,37,5,3,15,2,121,0,121,38,54,3,4,21,1
,Toisen polven ulkomaalainen,24,0,24,8,5,1,0,6,4,12,0,12,4,2,1,0,4,1,12,0,12,4,3,0,0,2,3
Alajärvi,Väestö yhteensä,10327,10106,221,45,142,1,6,18,9,5175,5088,87,24,52,1,1,8,1,5152,5018,134,21,90,0,5,10,8
,Syntyperältään suomalainen yhteensä,10106,10106,0,0,0,0,0,0,0,5088,5088,0,0,0,0,0,0,0,5018,5018,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",10021,10021,0,0,0,0,0,0,0,5045,5045,0,0,0,0,0,0,0,4976,4976,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",85,85,0,0,0,0,0,0,0,43,43,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,221,0,221,45,142,1,6,18,9,87,0,87,24,52,1,1,8,1,134,0,134,21,90,0,5,10,8
,Ensimmäisen polven ulkomaalainen,214,0,214,44,138,1,5,18,8,82,0,82,23,49,1,0,8,1,132,0,132,21,89,0,5,10,7
,Toisen polven ulkomaalainen,7,0,7,1,4,0,1,0,1,5,0,5,1,3,0,1,0,0,2,0,2,0,1,0,0,0,1
Alavieska,Väestö yhteensä,2750,2738,12,3,4,0,0,5,0,1414,1409,5,2,3,0,0,0,0,1336,1329,7,1,1,0,0,5,0
,Syntyperältään suomalainen yhteensä,2738,2738,0,0,0,0,0,0,0,1409,1409,0,0,0,0,0,0,0,1329,1329,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",2719,2719,0,0,0,0,0,0,0,1401,1401,0,0,0,0,0,0,0,1318,1318,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",19,19,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,12,0,12,3,4,0,0,5,0,5,0,5,2,3,0,0,0,0,7,0,7,1,1,0,0,5,0
,Ensimmäisen polven ulkomaalainen,9,0,9,1,3,0,0,5,0,3,0,3,1,2,0,0,0,0,6,0,6,0,1,0,0,5,0
,Toisen polven ulkomaalainen,3,0,3,2,1,0,0,0,0,2,0,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Alavus,Väestö yhteensä,9229,9146,83,20,46,1,4,7,5,4607,4565,42,14,23,0,3,0,2,4622,4581,41,6,23,1,1,7,3
,Syntyperältään suomalainen yhteensä,9146,9146,0,0,0,0,0,0,0,4565,4565,0,0,0,0,0,0,0,4581,4581,0,0,0,0,0,0,0
